Data;Hora;Temperatura
02/10/2018;18;24.6
03/10/2018;0;20.8
03/10/2018;12;23.4
03/10/2018;18;22.8
04/10/2018;0;21.8
04/10/2018;12;19.2
04/10/2018;18;21.2
05/10/2018;0;19.2
05/10/2018;12;19.8
05/10/2018;18;21.8
06/10/2018;0;18
06/10/2018;12;18.2
06/10/2018;18;17.8
07/10/2018;0;16.8
07/10/2018;12;18
07/10/2018;18;19
08/10/2018;0;18.6
08/10/2018;12;19.5
08/10/2018;18;21.1
09/10/2018;0;21.2
09/10/2018;12;25.3
09/10/2018;18;29.5
10/10/2018;0;24
10/10/2018;12;24.7
10/10/2018;18;23.7
11/10/2018;0;22
11/10/2018;12;17
11/10/2018;18;19
12/10/2018;0;18.9
12/10/2018;12;18.8
12/10/2018;18;23.3
13/10/2018;0;22
13/10/2018;12;22.5
13/10/2018;18;26.3
14/10/2018;0;22.5
14/10/2018;12;19.1
14/10/2018;18;18.7
15/10/2018;0;17.9
15/10/2018;12;18.2
15/10/2018;18;20
16/10/2018;0;19
16/10/2018;12;20.3
16/10/2018;18;20.7
17/10/2018;0;20
17/10/2018;12;22
17/10/2018;18;25.4
18/10/2018;0;22.8
18/10/2018;12;26
18/10/2018;18;25
19/10/2018;0;22.4
19/10/2018;12;22.2
19/10/2018;18;24.6
20/10/2018;0;21.4
20/10/2018;12;21.2
20/10/2018;18;22.8
21/10/2018;0;19
21/10/2018;12;19.4
21/10/2018;18;22.6
22/10/2018;0;19.8
22/10/2018;12;22.4
22/10/2018;18;23.4
23/10/2018;0;19.8
23/10/2018;12;23
23/10/2018;18;23.4
24/10/2018;0;19.2
24/10/2018;12;20.5
24/10/2018;18;20.5
25/10/2018;0;19
25/10/2018;12;20.7
25/10/2018;18;21.3
26/10/2018;0;20.9
26/10/2018;12;23.3
26/10/2018;18;24
27/10/2018;0;22
27/10/2018;12;26.3
27/10/2018;18;29.8
28/10/2018;0;23.2
28/10/2018;12;23
28/10/2018;18;23.7
29/10/2018;0;19.8
29/10/2018;12;20.8
29/10/2018;18;23.6
30/10/2018;0;19.6
30/10/2018;12;23
30/10/2018;18;25.6
31/10/2018;0;21.6
31/10/2018;12;25.4
31/10/2018;18;21.6
01/11/2018;0;22.2
01/11/2018;12;22.8
01/11/2018;18;26.2
02/11/2018;0;22.2
02/11/2018;12;20.4
02/11/2018;18;24.4
03/11/2018;0;20.8
03/11/2018;12;26.4
03/11/2018;18;29.6
04/11/2018;0;20.8
04/11/2018;12;20.4
04/11/2018;18;23.6
05/11/2018;0;20.4
05/11/2018;12;22.3
05/11/2018;18;23.5
06/11/2018;0;21
06/11/2018;12;22
06/11/2018;18;24.1
07/11/2018;0;23
07/11/2018;12;21.8
07/11/2018;18;24.5
08/11/2018;0;22
08/11/2018;12;21
08/11/2018;18;22.1
09/11/2018;0;19.1
09/11/2018;12;21.3
09/11/2018;18;24.5
10/11/2018;0;21.1
10/11/2018;12;23.1
10/11/2018;18;25.3
11/11/2018;0;22
11/11/2018;12;25.7
11/11/2018;18;28.3
12/11/2018;0;25.1
12/11/2018;12;24.8
12/11/2018;18;28.2
13/11/2018;0;24.2
13/11/2018;12;27.4
13/11/2018;18;28.8
14/11/2018;0;24.2
14/11/2018;12;26.6
14/11/2018;18;30.4
15/11/2018;0;24.8
15/11/2018;12;25
15/11/2018;18;27.4
16/11/2018;0;23.8
16/11/2018;12;27.2
16/11/2018;18;28
17/11/2018;0;24.4
17/11/2018;12;24.8
17/11/2018;18;25.2
18/11/2018;0;23.4
18/11/2018;12;24.3
18/11/2018;18;21.7
19/11/2018;0;22
19/11/2018;12;20.5
19/11/2018;18;22.7
20/11/2018;0;21
20/11/2018;12;23.6
20/11/2018;18;22
21/11/2018;0;20.9
21/11/2018;12;22.7
21/11/2018;18;22.3
22/11/2018;0;20.9
22/11/2018;12;23.7
22/11/2018;18;27.1
23/11/2018;0;23
23/11/2018;12;23.7
23/11/2018;18;26.6
24/11/2018;0;24
24/11/2018;12;27.1
24/11/2018;18;27.7
25/11/2018;0;24.7
25/11/2018;12;27.6
25/11/2018;18;25
26/11/2018;0;23.6
26/11/2018;12;24.2
26/11/2018;18;22.4
27/11/2018;0;20.4
27/11/2018;12;23
27/11/2018;18;24.8
28/11/2018;0;22.4
28/11/2018;12;22.2
28/11/2018;18;25.4
29/11/2018;0;23
29/11/2018;12;24
29/11/2018;18;25.2
30/11/2018;0;23.6
30/11/2018;12;26.8
30/11/2018;18;30.6
01/12/2018;0;22.6
01/12/2018;12;25.4
01/12/2018;18;30
02/12/2018;0;25.4
02/12/2018;12;25.2
02/12/2018;18;24.2
03/12/2018;0;20.6
03/12/2018;12;19.3
03/12/2018;18;21.7
04/12/2018;0;21
04/12/2018;12;24.5
04/12/2018;18;27.7
05/12/2018;0;23
05/12/2018;12;22.8
05/12/2018;18;31.3
06/12/2018;0;24.2
06/12/2018;12;24.5
06/12/2018;18;26.5
07/12/2018;0;23.7
07/12/2018;12;20.5
07/12/2018;18;21.5
08/12/2018;0;19
08/12/2018;12;21.7
08/12/2018;18;24.1
09/12/2018;0;19
09/12/2018;12;23.7
09/12/2018;18;25.6
10/12/2018;0;23.5
10/12/2018;12;24.4
10/12/2018;18;27.6
11/12/2018;0;24.2
11/12/2018;12;27.4
11/12/2018;18;29.6
12/12/2018;0;25.4
12/12/2018;12;30
12/12/2018;18;37.4
13/12/2018;0;28
13/12/2018;12;27
13/12/2018;18;29.8
14/12/2018;0;26.4
14/12/2018;12;27.4
14/12/2018;18;31
15/12/2018;0;27.6
15/12/2018;12;28.2
15/12/2018;18;34.8
16/12/2018;0;27.2
16/12/2018;12;26.5
16/12/2018;18;30.3
17/12/2018;0;26
17/12/2018;12;28
17/12/2018;18;32.8
18/12/2018;0;27
18/12/2018;12;28.5
18/12/2018;18;34
19/12/2018;0;25
19/12/2018;12;27.3
19/12/2018;18;29.5
20/12/2018;0;26.1
20/12/2018;12;29
20/12/2018;18;32.8
21/12/2018;0;27.6
21/12/2018;12;26
21/12/2018;18;34.8
22/12/2018;0;27
22/12/2018;12;29.7
22/12/2018;18;33
23/12/2018;0;24.8
23/12/2018;12;26.8
23/12/2018;18;25.4
24/12/2018;0;23.8
24/12/2018;12;26
24/12/2018;18;26.2
25/12/2018;0;23.8
25/12/2018;12;24.4
25/12/2018;18;23.6
26/12/2018;0;22.8
26/12/2018;12;25.6
26/12/2018;18;28.6
27/12/2018;0;24.2
27/12/2018;12;26.2
27/12/2018;18;28.8
28/12/2018;0;25
28/12/2018;12;26.4
28/12/2018;18;29.8
29/12/2018;0;26.8
29/12/2018;12;27.8
29/12/2018;18;30
30/12/2018;0;26.6
30/12/2018;12;29.4
30/12/2018;18;30.8
31/12/2018;0;27.6
31/12/2018;12;26.8
31/12/2018;18;31.4
